,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,stochastic,stochastic_buy_signal,stochastic_sell_signal
13,13,1548028800,3515.45,3544.94,3482.49,3497.5,2451643,0,6840151,4.344441741668687,True,False
15,15,1548201600,3549.88,3589.22,3498.51,3521.29,1651960,0,6840203,17.362043795620416,True,False
17,17,1548374400,3547.24,3554.75,3490.64,3534.75,2454167,0,6835422,19.327007299270054,True,False
18,18,1548633600,3517.3,3519.0,3348.39,3392.98,1651888,0,6840099,6.638182576073383,True,False
19,19,1548720000,3392.98,3417.2,3317.93,3377.53,8052660,0,6835329,8.602523021852768,True,False
25,25,1549411200,3399.04,3420.3,3313.96,3342.5,3246846,0,6835372,9.125207827087857,True,False
26,26,1549497600,3342.5,3356.67,3329.2,3335.44,4852052,0,6840149,7.803531206858983,True,False
33,33,1550448000,3561.99,3891.24,3561.53,3828.27,3255119,0,6840074,89.0919484478936,False,True
34,34,1550534400,3828.27,3947.15,3806.75,3863.24,4054244,0,6835345,86.74805350684623,False,True
35,35,1550620800,3863.24,3939.35,3841.92,3890.0,8051289,0,6835315,90.97427312497038,False,True
36,36,1550707200,3890.0,3963.73,3844.71,3873.9,3250473,0,6840148,86.17510811517923,False,True
37,37,1550793600,3873.9,3931.99,3862.15,3918.19,2450890,0,6840154,92.99136617572373,False,True
52,52,1552608000,3831.32,3884.8,3823.3,3874.24,1613679,0,6550502,94.45861622385293,False,True
53,53,1552867200,3940.05,3992.2,3911.9,3950.9,9326695,0,6840221,88.48459500906183,False,True
54,54,1552953600,3950.9,3985.95,3926.7,3965.03,4849099,0,6840420,92.09944751381225,False,True
55,55,1553040000,3965.03,3994.25,3940.1,3984.8,4048338,0,6840282,97.2683913860385,False,True
60,60,1553644800,3885.78,4008.1,3885.75,3985.68,4049628,0,6835478,82.14510340745117,False,True
61,61,1553731200,3985.65,4012.5,3970.44,3986.93,30169860,0,6835625,82.60756964741566,False,True
62,62,1553817600,3986.93,4077.01,3984.03,4049.13,76836462,0,6545671,91.10288486086287,False,True
63,63,1554076800,4069.3,4124.47,4029.95,4104.02,8523963,0,6840292,94.332354082368,False,True
65,65,1554249600,4779.29,5291.81,4758.37,5271.24,3254646,0,6840025,98.5992604749031,False,True
68,68,1554681600,5119.95,5325.43,5105.25,5229.8,5499599,0,6840013,93.58463478774217,False,True
69,69,1554768000,5229.8,5287.33,5122.15,5196.25,859336,0,6835282,91.33392368378681,False,True
70,70,1554854400,5196.25,5439.45,5135.14,5277.4,3257528,0,6835337,89.90128750015579,False,True
74,74,1555372800,5001.0,5205.44,4985.37,5161.37,4053117,0,6840089,81.07024458649022,False,True
75,75,1555459200,5161.37,5248.07,5153.22,5196.38,7253363,0,6840047,83.29897898888295,False,True
76,76,1555545600,5196.38,5291.13,5182.3,5285.0,1653906,0,6835286,89.04221355090459,False,True
77,77,1555632000,5285.0,5334.73,5175.42,5245.2,2449808,0,6835375,85.60236588149839,False,True
78,78,1555891200,5216.51,5416.8,5211.78,5344.0,1652486,0,6840118,85.9854936277677,False,True
79,79,1555977600,5344.0,5618.64,5333.64,5555.95,4052735,0,6840098,92.70146925279991,False,True
87,87,1556841600,5382.45,5772.58,5341.83,5666.11,8698587,0,6835290,87.01917801538626,False,True
88,88,1557100800,5743.06,5756.37,5542.15,5670.3,4057622,0,6840094,87.5300227990393,False,True
89,89,1557187200,5670.3,5941.37,5652.7,5821.52,10938742,0,6840028,87.88169868554101,False,True
90,90,1557273600,5821.52,5889.24,5635.85,5877.07,7931088,0,6249366,93.49848331648128,False,True
91,91,1557360000,5877.13,6070.62,5829.37,6057.67,1653199,0,6840063,98.8419405320814,False,True
92,92,1557446400,6057.67,6404.32,6054.25,6267.08,7735556,0,6835316,90.54788388029893,False,True
93,93,1557705600,7150.12,7950.6,6846.8,7841.5,6300486,0,6840007,96.36118643332898,False,True
94,94,1557792000,7841.5,8308.75,7594.12,7698.25,4861698,0,6840015,81.81076040257658,False,True
95,95,1557878400,7698.37,8239.94,7603.53,8146.38,3260574,0,6835251,95.16234752918322,False,True
98,98,1558310400,8004.92,8275.15,7555.57,7985.57,3261090,0,6840002,88.2082914476949,False,True
99,99,1558396800,7985.57,8121.24,7785.12,8066.87,12701271,0,6835275,90.63830475574248,False,True
100,100,1558483200,8066.87,8088.57,7667.0,7809.9,1660890,0,6835253,81.8757236076048,False,True
101,101,1558569600,7809.9,7857.5,7448.73,7857.5,2460289,0,6840001,82.27704160137026,False,True
102,102,1558656000,7857.5,8154.12,7774.79,8086.01,1658392,0,6835257,90.06649781832753,False,True
103,103,1558915200,8567.8,8918.82,8511.06,8724.88,1661229,0,6840111,94.09254425108969,False,True
104,104,1559001600,8724.88,8825.12,8516.53,8670.53,4058574,0,6840223,91.96329443752127,False,True
105,105,1559088000,8670.53,8731.7,8408.6,8623.13,5654445,0,6840229,89.67768286339658,False,True
111,111,1559779200,7708.75,7850.13,7435.56,7665.0,3256064,0,6835259,14.834412918529312,True,False
118,118,1560729600,8907.76,9401.37,8896.75,9250.87,2509250,0,6840010,92.40002625904549,False,True
119,119,1560816000,9250.87,9450.04,8916.82,9101.37,3309124,0,6840031,82.81516456869105,False,True
120,120,1560902400,9101.37,9186.2,8926.01,9141.1,1704818,0,6840064,84.77332991611381,False,True
121,121,1560988800,9141.1,9574.9,9114.44,9539.68,3302246,0,6840055,98.36475067322874,False,True
122,122,1561075200,9539.68,9926.24,9438.62,9916.4,2509576,0,6840020,99.60720758121303,False,True
123,123,1561334400,11003.5,11222.43,10526.62,10832.32,5712070,0,6840071,89.73753922969065,False,True
124,124,1561420800,10832.32,11446.4,10829.25,11345.91,4113320,0,6840006,97.49453979714973,False,True
125,125,1561507200,11345.91,13828.62,11344.6,12720.24,4919450,0,6840001,82.51678318148548,False,True
